"Name","TotalYearsNum","TotalYearsStr","Country","StakeholderType","Start","End"
"AlShatti, Qusai",8,"Eight Years","Germany","Academic","2006-01-01","2013-12-31"
"Cavalli, Olga del Carmen",8,"Eight Years","Morocco","Academic","2007-01-01","2014-12-31"
"Disspain, Chris",8,"Eight Years","Netherlands","Academic","2006-01-01","2013-12-31"
"Echeberría, Raúl",8,"Eight Years","Mexico","Academic","2006-01-01","2013-12-31"
"Hassan, Ayesha",8,"Eight Years","Japan","Academic","2006-01-01","2013-12-31"
"Quaynor, Nii",8,"Eight Years","Argentina","Academic","2006-01-01","2013-12-31"
"Swinehart, Theresa",8,"Eight Years","India","Academic","2006-01-01","2013-12-31"
"Filip, Ondrej",7,"Seven Years","Moldova","Academic","2008-01-01","2014-12-31"
"Katoh, Masanobu",7,"Seven Years","Switzerland","Academic","2006-01-01","2012-12-31"
"Sha'ban, Charles",7,"Seven Years","Denmark","Academic","2006-01-01","2012-12-31"
"Bayramov, Ayaz",6,"Six Years","Japan","Academic","2006-01-01","2011-12-31"
"Dardailler, DanielGrasse",6,"Six Years","Ecuador","Academic","2006-01-01","2011-12-31"
"Diop Diagne, Ndeye Maimouna",6,"Six Years","China","Academic","2006-01-01","2011-12-31"
"Graham, Bill",6,"Six Years","Ecuador","Civil Society","2006-01-01","2011-12-31"
"Hofmann, Jeanette",6,"Six Years","Brazil","Civil Society","2006-01-01","2011-12-31"
"Kārkliņš, Jānis",6,"Six Years","USA","Civil Society","2015-01-01","2015-12-31"
"Kārkliņš, Jānis",6,"Six Years","South Africa","Civil Society","2006-01-01","2010-12-31"
"Katundu, Michael",6,"Six Years","Senegal","Civil Society","2006-01-01","2011-12-31"
"Moedjiono, Sardjoeni",6,"Six Years","Ukraine","Civil Society","2008-01-01","2013-12-31"
"Papadatos, George",6,"Six Years","Uganda","Civil Society","2006-01-01","2011-12-31"
"Taylor, Emily",6,"Six Years","Kenya","Civil Society","2006-01-01","2011-12-31"
"Arida, Christine",5,"Five Years","South Africa","Civil Society","2007-01-01","2011-12-31"
"Betancourt, Valeria",5,"Five Years","Serbia","Civil Society","2008-01-01","2012-12-31"
"Desai, Nitin",5,"Five Years","Iran","Civil Society","2006-01-01","2010-12-31"
"Dryden, Heather",5,"Five Years","Brazil","Civil Society","2008-01-01","2012-12-31"
"Hilali, Aziz",5,"Five Years","South Africa","Civil Society","2008-01-01","2012-12-31"
"Jamil, Zahid Usman",5,"Five Years","Pakistan","Civil Society","2008-01-01","2012-12-31"
"Piñeiro, Lorena",5,"Five Years","Senegal","Civil Society","2008-01-01","2012-12-31"
"Selaimen, Graciela",5,"Five Years","UK","Civil Society","2008-01-01","2012-12-31"
"Tang, Zicai",5,"Five Years","Burundi","Civil Society","2007-01-01","2011-12-31"
"Warren, Jennifer A.",5,"Five Years","USA","Civil Society","2008-01-01","2012-12-31"
"Akplogan, Adiel",4,"Four Years","Switzerland","Civil Society","2006-01-01","2009-12-31"
"Bommelaer, Constance",4,"Four Years","USA","Civil Society","2012-01-01","2015-12-31"
"Carvell, Mark",4,"Four Years","USA","Civil Society","2012-01-01","2015-12-31"
"Clarke, Trevor",4,"Four Years","India","Civil Society","2006-01-01","2009-12-31"
"Daftardar, Abdullah M.",4,"Four Years","Nigeria","Civil Society","2006-01-01","2009-12-31"
