"Country","Count","Academic","Civil Society","Technical","Industry","Government"
"Algeria","Members",0,0,0,0,1
"Algeria","Years",0,0,0,0,2
"Antigua and Barbuda","Members",0,0,0,0,1
"Antigua and Barbuda","Years",0,0,0,0,3
"Argentina","Members",1,0,0,2,2
"Argentina","Years",3,0,0,4,9
"Australia","Members",0,0,0,3,2
"Australia","Years",0,0,0,12,5
"Austria","Members",0,0,0,0,1
"Austria","Years",0,0,0,0,1
"Azerbaijan","Members",0,0,0,0,1
"Azerbaijan","Years",0,0,0,0,6
"Bangladesh","Members",0,0,0,1,1
"Bangladesh","Years",0,0,0,2,2
"Barbados","Members",0,0,0,0,1
"Barbados","Years",0,0,0,0,4
"Belarus","Members",0,1,0,0,0
"Belarus","Years",0,1,0,0,0
"Belgium","Members",0,0,0,2,2
"Belgium","Years",0,0,0,6,3
"Benin","Members",0,0,0,0,1
"Benin","Years",0,0,0,0,3
"Bosnia & Herzegovina","Members",0,1,0,0,0
"Bosnia & Herzegovina","Years",0,1,0,0,0
"Brazil","Members",0,2,0,1,7
"Brazil","Years",0,7,0,2,9
"Bulgaria","Members",0,0,0,0,1
"Bulgaria","Years",0,0,0,0,1
"Burundi","Members",0,1,0,0,0
"Burundi","Years",0,1,0,0,0
"Canada","Members",0,0,0,1,1
"Canada","Years",0,0,0,6,5
"Chile","Members",0,0,0,0,1
"Chile","Years",0,0,0,0,5
"China","Members",1,0,0,2,5
"China","Years",2,0,0,3,11
"Colombia","Members",0,0,0,1,0
"Colombia","Years",0,0,0,3,0
"Costa Rica","Members",0,0,0,0,1
"Costa Rica","Years",0,0,0,0,3
"Cuba","Members",0,0,0,0,1
"Cuba","Years",0,0,0,0,1
"Czech Republic","Members",0,0,0,1,0
"Czech Republic","Years",0,0,0,7,0
"Denmark","Members",1,0,1,0,0
"Denmark","Years",2,0,2,0,0
"Ecuador","Members",1,1,0,0,0
"Ecuador","Years",2,5,0,0,0
"Egypt","Members",0,0,0,3,1
"Egypt","Years",0,0,0,7,5
"El Salvador","Members",0,0,0,0,0
"El Salvador","Years",0,0,0,0,0
"Fiji","Members",0,0,0,0,1
"Fiji","Years",0,0,0,0,3
"Finland","Members",0,0,0,2,2
"Finland","Years",0,0,0,4,3
"France","Members",0,1,1,2,1
"France","Years",0,2,4,10,2
"Germany","Members",1,0,0,1,0
"Germany","Years",6,0,0,2,0
"Ghana","Members",0,0,0,1,1
"Ghana","Years",0,0,0,8,4
"Greece","Members",0,0,0,0,1
"Greece","Years",0,0,0,0,6
"Hong Kong","Members",0,0,0,2,0
"Hong Kong","Years",0,0,0,5,0
"Hungary","Members",0,0,0,0,2
"Hungary","Years",0,0,0,0,5
